Date,Malaria_Cases
2018-12-31,66
2019-01-07,110
2019-01-14,73
2019-01-21,70
2019-01-28,48
2019-02-04,44
2019-02-11,56
2019-02-18,78
2019-02-25,10
2019-03-04,32
2019-03-11,52
2019-03-18,17
2019-03-25,13
2019-04-01,4
2019-04-08,13
2019-04-15,13
2019-04-22,13
2019-04-29,13
2019-05-06,39
2019-05-13,46
2019-05-20,51
2019-05-27,27
2019-06-03,24
2019-06-10,28
2019-06-17,86
2019-06-24,308
2019-07-01,375
2019-07-08,436
2019-07-15,444
2019-07-22,452
2019-07-29,402
2019-08-05,604
2019-08-12,"1,102"
2019-08-19,"1,498"
2019-08-26,"1,665"
2019-09-02,"1,883"
2019-09-09,"1,260"
2019-09-16,"1,116"
2019-09-23,"1,071"
2019-09-30,742
2019-10-07,494
2019-10-14,356
2019-10-21,437
2019-10-28,412
2019-11-04,543
2019-11-11,612
2019-11-18,"1,719"
2019-11-25,"1,020"
2019-12-02,692
2019-12-09,562
2019-12-16,581
2019-12-23,"1,002"
2019-12-30,914
2020-01-06,981
2020-01-13,893
2020-01-20,715
2020-01-27,366
2020-02-03,409
2020-02-10,259
2020-02-17,379
2020-02-24,440
2020-03-02,301
2020-03-09,183
2020-03-16,209
2020-03-23,139
2020-03-30,148
2020-04-06,191
2020-04-13,247
2020-04-20,236
2020-04-27,130
2020-05-04,194
2020-05-11,599
2020-05-18,"1,446"
2020-05-25,"1,450"
2020-06-01,866
2020-06-08,331
2020-06-15,303
2020-06-22,289
2020-06-29,944
2020-07-06,"1,860"
2020-07-13,"1,926"
2020-07-20,"3,975"
2020-07-27,"4,101"
2020-08-03,"4,889"
2020-08-10,"7,423"
2020-08-17,"9,717"
2020-08-24,"9,984"
2020-08-31,"9,778"
2020-09-07,"7,696"
2020-09-14,"7,784"
2020-09-21,"7,973"
2020-09-28,"2,544"
2020-10-05,"1,394"
2020-10-12,"1,785"
2020-10-19,"3,690"
2020-10-26,"3,460"
2020-11-02,"4,310"
2020-11-09,"4,315"
2020-11-16,"3,762"
2020-11-23,"2,685"
2020-11-30,"3,009"
2020-12-07,"2,827"
2020-12-14,"2,476"
2020-12-21,"2,088"
2020-12-28,"1,500"
2021-01-04,"1,433"
2021-01-11,"1,361"
2021-01-18,"1,022"
2021-01-25,962
2021-02-01,704
2021-02-08,533
2021-02-15,308
2021-02-22,345
2021-03-01,237
2021-03-08,185
2021-03-15,217
2021-03-22,145
2021-03-29,187
2021-04-05,187
2021-04-12,133
2021-04-19,231
2021-04-26,592
2021-05-03,542
2021-05-10,418
2021-05-17,603
2021-05-24,"1,145"
2021-05-31,"2,127"
2021-06-07,776
2021-06-14,"1,516"
2021-06-21,"1,168"
2021-06-28,907
2021-07-05,736
2021-07-12,"1,326"
2021-07-19,"1,558"
2021-07-26,"2,476"
2021-08-02,"4,335"
2021-08-09,"4,199"
2021-08-16,"6,463"
2021-08-23,"4,776"
2021-08-30,"2,073"
2021-09-06,"2,208"
2021-09-13,"1,539"
2021-09-20,"1,304"
2021-09-27,"1,733"
2021-10-04,"1,430"
2021-10-11,"1,945"
2021-10-18,"1,919"
2021-10-25,"2,220"
2021-11-01,"1,767"
2021-11-08,940
2021-11-15,633
2021-11-22,503
2021-11-29,327
2021-12-06,247
2021-12-13,239
2021-12-20,221
2021-12-27,307
2022-01-03,172
2022-01-10,147
2022-01-17,122
2022-01-24,143
2022-01-31,146
2022-02-07,210
2022-02-14,180
2022-02-21,151
2022-02-28,134
2022-03-07,137
2022-03-14,89
2022-03-21,103
2022-03-28,70
2022-04-04,47
2022-04-11,38
2022-04-18,83
2022-04-25,57
2022-05-02,45
2022-05-09,132
2022-05-16,"1,003"
2022-05-23,"1,827"
2022-05-30,767
2022-06-06,585
2022-06-13,644
2022-06-20,928
2022-06-27,"1,831"
2022-07-04,"2,327"
2022-07-11,"1,925"
2022-07-18,"1,184"
2022-07-25,"1,989"
2022-08-01,"2,118"
2022-08-08,"1,967"
2022-08-15,"2,261"
2022-08-22,"4,038"
2022-08-29,"4,152"
2022-09-05,"3,611"
2022-09-12,"1,579"
2022-09-19,"3,276"
2022-09-26,"3,800"
2022-10-03,"3,024"
2022-10-10,"1,925"
2022-10-17,"1,189"
2022-10-24,902
2022-10-31,614
2022-11-07,429
2022-11-14,368
2022-11-21,313
2022-11-28,246
2022-12-05,491
2022-12-12,795
2022-12-19,424
2022-12-26,496
2023-01-02,654
2023-01-09,783
2023-01-16,"1,099"
2023-01-23,952
2023-01-30,386
2023-02-06,321
2023-02-13,190
2023-02-20,99
2023-02-27,107
2023-03-06,85
2023-03-13,92
2023-03-20,85
2023-03-27,98
2023-04-03,194
2023-04-10,"1,693"
2023-04-17,"3,109"
2023-04-24,"2,700"
2023-05-01,"1,097"
2023-05-08,864
2023-05-15,"2,380"
2023-05-22,"7,409"
2023-05-29,"6,761"
2023-06-05,"3,255"
2023-06-12,"2,159"
2023-06-19,"1,865"
2023-06-26,"1,077"
2023-07-03,"1,446"
2023-07-10,"1,819"
2023-07-17,"2,299"
2023-07-24,"2,075"
2023-07-31,869
2023-08-07,720
2023-08-14,642
2023-08-21,"1,472"
2023-08-28,"1,339"
2023-09-04,601
2023-09-11,435
2023-09-18,352
2023-09-25,354
2023-10-02,321
2023-10-09,292
2023-10-16,135
2023-10-23,123
2023-10-30,88
2023-11-06,245
2023-11-13,"1,430"
2023-11-20,"4,145"
2023-11-27,"4,749"
2023-12-04,"4,356"
2023-12-11,"3,428"
2023-12-18,"2,477"
2023-12-25,"1,941"
2024-01-01,"1,792"
2024-01-08,"1,172"
2024-01-15,"1,067"
2024-01-22,"1,638"
2024-01-29,"1,713"
2024-02-05,"1,703"
2024-02-12,"1,723"
2024-02-19,"1,168"
2024-02-26,769
2024-03-04,"2,078"
2024-03-11,419
2024-03-18,344
2024-03-25,269
2024-04-01,237
2024-04-08,190
2024-04-15,158
2024-04-22,797
2024-04-29,"1,679"
2024-05-06,"2,183"
2024-05-13,"3,843"
2024-05-20,"4,653"
2024-05-27,"4,638"
2024-06-03,"3,203"
2024-06-10,"3,730"
2024-06-17,"2,848"
2024-06-24,"1,965"
2024-07-01,"1,923"
2024-07-08,"2,070"
2024-07-15,"1,272"
2024-07-22,762
2024-07-29,"1,190"
2024-08-05,"2,611"
2024-08-12,"4,876"
2024-08-19,"7,281"
2024-08-26,"7,003"
2024-09-02,"6,655"
2024-09-09,"7,099"
2024-09-16,"6,128"
2024-09-23,"3,647"
2024-09-30,"2,389"
2024-10-07,"1,533"
2024-10-14,"1,247"
2024-10-21,"1,062"
2024-10-28,914
2024-11-04,"1,438"
2024-11-11,"3,004"
2024-11-18,"2,548"
2024-11-25,"1,649"
2024-12-02,"2,257"
2024-12-09,"3,462"
2024-12-16,"6,137"
2024-12-23,"3,892"
2024-12-30,"3,661"
2025-01-06,"3,407"
2025-01-13,"2,742"
2025-01-20,"2,343"
2025-01-27,"2,041"
2025-02-03,"1,269"
2025-02-10,988
2025-02-17,782
2025-02-24,353
2025-03-03,244
2025-03-10,210
2025-03-17,242
2025-03-24,193
2025-03-31,351
2025-04-07,"1,040"
2025-04-14,"1,361"
2025-04-21,"2,275"
2025-04-28,400
2025-05-05,"1,624"
2025-05-12,"2,959"
2025-05-19,"3,320"
2025-05-26,"6,683"
2025-06-02,"6,012"
2025-06-09,"6,400"
2025-06-16,"5,454"
2025-06-23,"4,297"
2025-06-30,"6,021"
2025-07-07,"2,493"
2025-07-14,"2,792"
2025-07-21,"1,926"
2025-07-28,"2,364"
2025-08-04,"3,030"
2025-08-11,"2,999"
2025-08-18,"2,024"
2025-08-25,"2,494"
2025-09-01,"2,776"
